avg_latency,std_latency,p95_latency,p99_latency,failure_rate,timeout_rate,avg_retries,request_velocity,latency_trend,jitter,payload_trend,throughput_bytes_per_sec,time_since_success,total_requests,label
84.33,8.03,148.3,222.46,0.0036,0.0018,0.99,2.69,1.54,13.49,0.47,116176,9.6,2256,degrading
52.45,5.43,72.85,86.46,0.0,0.0,0.29,5.0,0.3,2.03,-0.01,201453,4.9,17431,stable
80.08,10.17,137.61,187.83,0.0024,0.0019,0.87,3.15,1.99,7.22,0.75,147600,15.3,13600,degrading
334.07,76.0,877.66,1440.65,0.0559,0.0341,4.44,1.25,4.68,42.39,1.91,64234,32.6,4872,congested
43.69,4.53,58.07,72.02,0.0,0.0,0.11,4.8,-0.47,2.76,0.1,342812,1.4,21946,stable
500.0,32.97,1361.97,2026.39,0.0583,0.0467,3.94,1.81,7.62,39.38,1.14,75652,56.6,13541,congested
31.76,4.09,43.44,59.95,0.0,0.0,0.05,3.75,-0.43,2.28,0.09,499159,2.2,36585,stable
35.64,4.47,50.06,70.28,0.0,0.0,0.04,4.69,-0.3,1.65,-0.03,425829,3.3,26630,stable
33.68,6.08,44.51,54.29,0.0,0.0,0.3,3.56,0.37,3.31,0.08,390103,2.4,43797,stable
60.0,16.02,97.04,148.9,0.0024,0.001,0.81,3.23,2.94,8.42,0.66,59407,18.0,23463,degrading
120.0,9.54,190.83,319.92,0.0012,0.0007,0.43,2.66,1.46,8.79,0.73,53345,19.9,28717,degrading
98.76,18.99,179.98,210.62,0.0023,0.0006,1.12,3.4,2.64,8.78,0.49,90359,19.2,15879,degrading
40.35,4.98,53.19,74.36,0.0,0.0,0.23,4.44,-0.48,3.43,0.1,178411,5.0,44960,stable
43.38,3.29,62.26,81.43,0.0001,0.0,0.19,4.3,0.1,2.89,0.01,481130,0.4,47005,stable
44.09,5.86,66.5,79.58,0.0,0.0,0.24,4.5,-0.24,4.63,0.17,324176,0.6,22905,stable
72.65,13.34,116.01,145.91,0.0031,0.0018,1.05,2.67,1.22,10.78,0.27,112461,19.2,20900,degrading
21.18,5.82,31.63,40.88,0.0,0.0,0.19,4.84,-0.0,4.3,0.06,140957,0.3,3515,stable
32.68,4.62,48.19,59.12,0.0001,0.0,0.03,3.53,-0.33,3.26,0.18,180991,3.3,9941,stable
59.93,5.21,83.53,101.29,0.0001,0.0,0.17,4.67,-0.48,4.88,0.22,400461,3.8,20063,stable
43.89,7.62,67.63,77.71,0.0001,0.0,0.17,4.1,0.17,1.22,-0.05,299684,1.7,15494,stable
104.29,12.07,169.76,212.56,0.0025,0.002,1.07,3.09,0.79,9.06,0.58,56285,5.3,28475,degrading
217.3,31.97,551.47,916.88,0.0607,0.0458,1.84,1.94,3.04,19.4,1.58,63154,23.9,5074,congested
120.0,11.1,237.44,292.04,0.0044,0.0011,1.02,3.33,2.64,10.89,0.62,76185,6.5,16217,degrading
434.57,57.81,1127.22,1742.04,0.0503,0.034,3.38,1.46,5.52,46.36,1.22,65927,83.8,11827,congested
35.28,3.86,54.34,68.35,0.0,0.0,0.2,3.93,-0.43,2.96,-0.04,394803,3.7,42261,stable
360.65,30.77,732.11,1330.02,0.0536,0.0359,1.51,1.9,6.17,19.56,1.59,34899,111.0,739,congested
38.87,3.26,61.33,63.04,0.0,0.0,0.06,4.11,-0.17,2.38,0.2,333705,0.2,43994,stable
944.01,63.98,3531.6,3920.68,0.2088,0.1558,7.95,1.16,19.98,103.99,1.21,25118,396.3,2266,critical
